+===============================+===============================+===========================================================================================+
| Launch Setup Clock            | Launch Hold Clock             | Pin                                                                                       |
+===============================+===============================+===========================================================================================+
| clk_out1_mb_block_clk_wiz_1_0 | clk_out1_mb_block_clk_wiz_1_0 | mb_block_i/hdmi_text_controller_0/inst/vga_to_hdmi/inst/srldly_0/srl[30].srl16_i_srlopt/D |
| clk_out1_mb_block_clk_wiz_1_0 | clk_out1_mb_block_clk_wiz_1_0 | mb_block_i/hdmi_text_controller_0/inst/vga_to_hdmi/inst/srldly_0/srl[39].srl16_i/D        |
| clk_ref_i                     | clk_ref_i                     | ram_reader_0/ram_en_reg/D                                                                 |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/ready_reg/D                                                                  |
| clk_ref_i                     | clk_ref_i                     | ram_reader_0/ram_address_reg[21]/D                                                        |
| clk_ref_i                     | clk_ref_i                     | ram_reader_0/old_ram_address_reg[3]/D                                                     |
| clk_out1_mb_block_clk_wiz_1_0 | clk_out1_mb_block_clk_wiz_1_0 | mb_block_i/hdmi_text_controller_0/inst/vga_to_hdmi/inst/srldly_0/srl[37].srl16_i_srlopt/D |
| clk_out1_mb_block_clk_wiz_1_0 | clk_out1_mb_block_clk_wiz_1_0 | mb_block_i/hdmi_text_controller_0/inst/vga_to_hdmi/inst/srldly_0/srl[22].srl16_i_srlopt/D |
| clk_ref_i                     | clk_ref_i                     | ram_reader_0/old_ram_address_reg[8]/D                                                     |
| clk_out1_mb_block_clk_wiz_1_0 | clk_out1_mb_block_clk_wiz_1_0 | mb_block_i/hdmi_text_controller_0/inst/vga_to_hdmi/inst/srldly_0/srl[23].srl16_i_srlopt/D |
| clk_ref_i                     | clk_ref_i                     | ram_reader_0/ram_address_reg[19]/D                                                        |
| clk_ref_i                     | clk_ref_i                     | ram_reader_0/ram_address_reg[4]/D                                                         |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/addr_reg[0]/R                                                                |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[10]/R                                                            |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[4]/R                                                             |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[0]/R                                                             |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[5]/R                                                             |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[11]/R                                                            |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[1]/R                                                             |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[8]/R                                                             |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[3]/R                                                             |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[9]/R                                                             |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[6]/R                                                             |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[7]/R                                                             |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/counter_reg[2]/R                                                             |
| clk_ref_i                     | clk_ref_i                     | ram_reader_0/ram_address_reg[8]/D                                                         |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | pwm_maker/ready_reg/D                                                                     |
| clk_ref_i                     | clk_ref_i                     | ram_reader_0/old_ram_address_reg[16]/D                                                    |
| clk_ref_i                     | clk_ref_i                     | ram_reader_0/old_ram_address_reg[22]/D                                                    |
| clk_ref_i                     | clk_ref_i                     | ram_reader_0/ram_address_reg[9]/D                                                         |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/addr_reg[3]_replica/R                                                        |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/addr_reg[2]/R                                                                |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/addr_reg[5]/R                                                                |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/addr_reg[11]/R                                                               |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/addr_reg[12]/R                                                               |
| clk_pll_i                     | clk_out1_mb_block_clk_wiz_1_0 | audio_addr_i/addr_reg[4]/R                                                                |
